#Coverage (X)	Coverage
1.0	0.00420173960068837
2.0	0.004169275151511442
3.0	0.0041169443976087905
4.0	0.0040676178166165755
5.0	0.003987861871308951
6.0	0.0039398274076916096
7.0	0.0038207587910790153
8.0	0.0037926229351228358
9.0	0.003719230667911688
10.0	0.0036951972846281933
11.0	0.0036040707063733635
12.0	0.003572672254023246
13.0	0.0035102952874837
14.0	0.003483257731303979
15.0	0.0033873826216677116
16.0	0.00334661631831068
17.0	0.003271738116112033
18.0	0.003244409833513373
19.0	0.0031895594507176384
20.0	0.003159873053903084
21.0	0.003113647554613408
22.0	0.0030843487930098945
23.0	0.0030103427700396423
24.0	0.0029865032043687734
25.0	0.002943378786795847
26.0	0.0029220911529534987
27.0	0.002879192855928636
28.0	0.0028593911570737873
29.0	0.0027947852880458868
30.0	0.002778440003183391
31.0	0.0027268522167673837
32.0	0.0027084395440937215
33.0	0.002673423163088273
34.0	0.0026573686046305056
35.0	0.0026146318222686205
36.0	0.00257250879566584
37.0	0.0025401412552810143
38.0	0.0025186275008906023
39.0	0.002449757644512829
40.0	0.0024257888671002092
41.0	0.002381016999862595
42.0	0.0023653500766300795
43.0	0.0023416074197655234
44.0	0.0023210627534098194
45.0	0.002288113760201327
46.0	0.002271477748934103
47.0	0.002236267550316029
48.0	0.002212137258240432
49.0	0.002161001712906341
50.0	0.0021354500917141195
51.0	0.0020993354109322127
