"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG000001",3090.76625337149,-0.950874273093909,0.904982078424082,-1.05071061158442,0.293391520812,0.84455954958662
"ENSG000002",4167.86854558944,1.30190309325564,0.772932437975346,1.68436855447017,0.0921104640369484,0.583661347716215
"ENSG000003",5191.70022669135,0.0846754494098952,0.787012310429563,0.107591010061429,0.91432012852543,0.993781370299256
"ENSG000004",4956.54590123703,1.3347738868713,0.631184194164483,2.11471373841701,0.0344543527263563,0.378286700992054
"ENSG000005",4394.50842829313,1.09895067529537,0.77982592606119,1.40922562147432,0.158768463935413,0.710691423166574
"ENSG000006",5858.44114675707,-0.333231523592585,0.497706915677064,-0.669533641378618,0.503155128255556,0.940791976180098
"ENSG000007",6106.57322171767,0.230153355049657,0.575597950690438,0.399850893794157,0.689266342780752,0.978086240140981
"ENSG000008",3858.20651997382,-1.08404220625531,0.747602014466054,-1.45002579618455,0.147051325800583,0.692920409109044
"ENSG000009",5900.41425977504,-0.406299829133558,0.479361497293658,-0.847585447365744,0.396668881729397,0.905032221682198
"ENSG000010",3703.69756447202,-0.788687338766974,1.16128767044014,-0.679148981636958,0.497043469543313,0.938606244653941
"ENSG000011",4879.92563627818,-0.0471305368008213,0.870530942725766,-0.0541399903066608,0.956823631295062,0.996490793486191
"ENSG000012",3448.04045236642,0.72020768549675,1.05312689646318,0.683875502482649,0.494053784449452,0.937743225551397
"ENSG000013",3716.43530127527,-2.29382385527148,0.84414784642549,-2.71732477312426,0.00658119934504613,0.165439903093166
"ENSG000014",6596.03749430939,-0.00334681016166748,0.409369883412991,-0.00817551631733267,0.993476954419603,0.999645145262744
"ENSG000015",3753.80247274077,1.63847324975288,0.951055398747193,1.72279475192634,0.0849256481708855,0.565492396929588
"ENSG000016",5337.44135302106,-0.737371503169634,0.825370543815107,-0.893382382852294,0.371652433720696,0.894661961280377
"ENSG000017",4272.21621276954,-0.0180785550747945,0.953727466991415,-0.0189556825198967,0.984876459276465,0.999347875844954
"ENSG000018",5072.46196563448,0.357057621544705,1.14219405228888,0.312606794641581,0.754579415308103,0.982438051487108
"ENSG000019",4302.22225582253,-0.595302385098563,1.06981970870991,-0.556451129336954,0.57790249435704,0.96034638127938
"ENSG000020",3754.05605705461,0.351577743418797,0.987777745890434,0.355927985704787,0.721894496863513,0.979826954716028
"ENSG000021",5454.27190240968,0.282272645176441,0.880860246317948,0.320451111690372,0.74862638504374,0.98168107160701
"ENSG000022",3479.37956607469,2.79610780211284,0.94479124272276,2.95949800937489,0.0030814069265287,0.10827150128351
"ENSG000023",5574.86365468929,-0.273328619057222,0.604438036240878,-0.452202877166876,0.651122835655077,0.97395067034211
"ENSG000024",4503.53748853139,-0.640423288492381,0.917697550750653,-0.697858774896513,0.48526551799074,0.935430123653116
"ENSG000025",3619.05682098661,-0.899539949078509,1.0692095669879,-0.841313038016138,0.400172588419504,0.906535275199914
"ENSG000026",6540.93277285517,-0.215839519363578,0.487654914189001,-0.442607083581906,0.658049960242812,0.974763242590817
"ENSG000027",6062.57012524441,0.0227371816025549,0.496958207149059,0.0457527036991564,0.963507356282772,0.996936217073527
"ENSG000028",3035.2441352323,0.395905870480974,1.03807594986692,0.381384300957677,0.702918108361561,0.97918127472035
"ENSG000029",5079.15117412552,-0.723567296597554,0.752573984263183,-0.961456696255547,0.336322588836019,0.876055607245381
"ENSG000030",4027.45809227908,1.54949386195876,0.753251718492304,2.0570731190102,0.0396791929810595,0.403477069227565
"ENSG000031",2997.41787144415,1.04946917065963,0.966830010168436,1.08547434359924,0.277711620990764,0.83198130133112
"ENSG000032",5838.48917098148,-0.586473850708081,0.665125061858504,-0.881749740521498,0.377912156089535,0.896604374866319
"ENSG000033",2919.32600505912,0.311898990775635,0.86188008728166,0.361882117220452,0.717440123938381,0.979817924385384
"ENSG000034",4248.20277066064,-0.1726351545454,0.940160813884098,-0.183623005762376,0.854309214003835,0.990271664974016
"ENSG000035",4528.99413540525,1.63381387147681,1.19976792224996,1.36177492428108,0.173268927510466,0.732025255420036
"ENSG000036",6786.82535243516,0.203450929374427,0.377999912192296,0.538230096918455,0.590418204153676,0.962865388194446
"ENSG000037",3930.50591524266,-0.586980477343729,1.22773670038276,-0.478099642342475,0.632579286630813,0.969680100197687
"ENSG000038",3785.84533661856,0.314374388926717,0.992910253930879,0.316619138217301,0.751532612177283,0.982438051487108
"ENSG000039",4641.71707827822,-2.24864559385946,0.989159184363625,-2.27328991066905,0.0230087151382446,0.31510154941447
"ENSG000040",3206.1992331297,2.60236135473759,1.06143712046981,2.45173388470316,0.0142169760410357,0.248374843484202
"ENSG000041",4503.70556270545,-0.443718547552228,0.940966357381447,-0.471556229477771,0.637243575370613,0.97070690603581
"ENSG000042",2242.73959741373,-1.00619427459994,0.840471187174019,-1.19717878489463,0.231236877035681,0.792505902317136
"ENSG000043",3764.8298047451,-0.205911972637162,1.14309529969305,-0.180135438132284,0.857046242032711,0.990794262115138
"ENSG000044",3161.79890280877,-1.14990297666417,1.12849408685608,-1.01897120247013,0.308216638287845,0.856807109081541
"ENSG000045",3069.17067316641,2.37689598189106,1.08335131405828,2.19402141396507,0.0282338701251567,0.347900407773859
"ENSG000046",5539.58730528208,-0.653072117566526,2.30934518055622,-0.28279536687072,0.777333706127959,0.98413956141299
"ENSG000047",2859.73360852757,1.76760314095398,1.56643297553212,1.12842564512122,0.259140202298525,0.815881248972121
"ENSG000048",5592.67213877556,-0.389627993637722,0.536799673433324,-0.725835004976243,0.467939924729234,0.929519377426256
"ENSG000049",5028.29191718026,-1.48699705637646,0.850720071618612,-1.74792755688395,0.0804765724115628,0.552479801504348
"ENSG000050",4664.04199617262,-0.081180695124428,0.937558251964788,-0.0865873613232054,0.930999512369618,0.99482085849524
"ENSG000051",6252.73179521379,0.104141329504151,0.467720378040091,0.222657242219248,0.823802281705563,0.988647192705169
"ENSG000052",5225.7394417756,0.177820075548179,0.848561462821663,0.20955473862422,0.834015208542101,0.988945914495696
"ENSG000053",2956.44208884694,-0.248088124850239,1.44052149558995,-0.172221050230588,0.863263749439579,0.991377246656153
"ENSG000054",5487.63215383252,-0.655570466161385,0.597798634603878,-1.09664095602324,0.272798376423359,0.827514444313184
"ENSG000055",6117.68673886439,-0.893156205001356,0.490186975741267,-1.82207249315573,0.0684439867781436,0.516636373627292
"ENSG000056",4321.40049462255,0.151107891273502,1.12897446456248,0.133845269327737,0.893524929479405,0.992916533261041
"ENSG000057",6109.53458892128,1.05606889417358,0.506310037903229,2.08581464935409,0.0369954159150025,0.392232993161604
